Qbf.m3s,Bbf.m,Hbf.m,S,D50.mm
7079.211648,1402.08,6.096,1.67E-05,0.01
453.069545472,137.16,1.8288,0.000227,0.04
339.802159104,146.304,1.524,0.000227,0.04
396.435852288,102.108,5.1816,0.000137,0.041
1132.67386368,152.4,3.9624,0.00046,0.043
27.94,25.67,2.38,0.00033,0.062
54.65151392256,41.20896,2.755392,0.0001,0.094
1415.8423296,213.36,4.572,0.00019,0.1
62.86339943424,13.716,2.16408,0.001,0.11
2123.7634944,205.74,6.4008,0.000328,0.15
1359.208636416,178.308,5.42544,0.000342,0.15
210,40,5,0.000115,0.15
7079.211648,982.98,4.8768,0.0001,0.18
30582.19431936,975.36,10.9728,0.000159,0.18
1670.693948928,217.932,5.9436,5.8E-05,0.18
6611.983679232,344.424,7.3152,0.0001065,0.19
2605.149886464,441.96,5.334,9E-05,0.19
107.32084858368,59.436,2.62128,0.00011,0.2
216340.70796288,2286,48.11776,8.75E-06,0.2
90000,1043,43,1.6E-05,0.2
16.56535525632,10.668,1.18872,0.0015,0.21
16706.93948928,737.616,11.18616,7.4E-05,0.22
59.18220937728,24.003,2.33172,0.0015,0.239
15.29,22.3,0.57,0.0034,0.25
22.65,13.7,1.57,0.0024,0.25
21237.634944,605.3328,11.8872,0.00047,0.25
58.89904091136,43.5864,2.22504,0.003,0.25
99.108963072,20.7264,0.9144,0.002,0.25
61.5891413376,37.4904,0.762,0.003,0.25
120000,3201,26.5,1.8E-05,0.25
161330,2722,38,2.1E-05,0.25
60000,3400,15,6.8E-05,0.25
566.33693184,79.248,4.14528,0.00033,0.26
24.0693196032,10.9728,1.9812,0.0013,0.27
849.50539776,225.2472,2.7432,0.0003,0.28
148.94661307392,42.0624,3.77952,0.0002,0.29
1274.25809664,320.04,2.5908,0.00125,0.3
42475.269888,2143.9632,16.764,8.15E-05,0.3
850,187,2.2,0.00031,0.3
16000,1600,10,5E-05,0.3
1240,600,3,0.000286,0.3
60000,2160,17,3.8E-05,0.3
70000,2140,19.5,3.4E-05,0.3
12300,1150,16.84,0.00011,0.3
20500,1330,13.1,4.8E-05,0.3
17140,1320,11.7,4.4E-05,0.3
3700,507,6.6,0.0001,0.3
6000,621,7.5,9.8E-05,0.3
16300,776,11.34,7E-05,0.31
16950,625,13.92,9E-05,0.31
130.2574943232,46.3296,3.2004,0.00051,0.31
1982.17926144,365.76,3.9624,0.00031,0.32
4400.4379603968,579.12,3.81,0.001595,0.32
1133,226,3.76,0.00027,0.33
396.435852288,38.7096,7.19328,0.0005,0.33
28000,1975,10.6,0.000248,0.35
850,186,2.97,0.0003,0.38
46.15645994496,14.3256,1.34112,0.0015,0.4
1200,140,5,0.000288,0.4
290,200,4.4,0.001,0.4
27330,1490,13.5,4.9E-05,0.4
3200,385,6,0.00015,0.4
64600,1770,17.4,6E-05,0.4
21000,1042,16,3.6E-05,0.4
20000,1028,15,4.1E-05,0.4
13,12,1.17,0.003,0.42
55,31,2.53,0.00053,0.44
1500,515,3,0.00013,0.45
127.425809664,30.48,0.70104,0.002,0.48
141.58423296,54.864,2.7432,0.00024,0.5
42475.269888,1381.3536,20.1168,4.73E-05,0.5
36.8119005696,9.7536,2.37744,0.001,0.5
308.6536278528,89.3064,1.76784,0.002,0.5
88.91489829888,40.8432,0.94488,0.0015,0.5
12,17.1,0.93,0.0064,0.5
283.16846592,70.104,4.66476521739131,0.000132575757576,0.52
8.806539290112,14.1732,1.3716,0.00017,0.55
254.851619328,50.292,6.31767272727273,7.57575757575758E-05,0.57
7.022577954816,6.096,1.46304,0.0008,0.59
