Qbf.m3s,Bbf.m,Hbf.m,S,D50.mm
92.6,12.14,2.2,0.001,87.2
33.4,26.2,1.2,0.0016,6.2
7.5,11.5,0.9,0.0025,53.4
38.2,12.13,1.2,0.0025,131.7
15.4,16.5,0.7,0.0028,194
30.6,21.9,1,0.0029,130.7
7.6,17.3,0.9,0.0032,62.3
12.9,17.8,0.8,0.0034,144.3
46.4,12.12,1,0.0035,84.8
15,12.8,1,0.0037,39.6
2.1,8.4,0.6,0.0046,30.8
11.9,11.6,0.8,0.005,104.1
9.7,12.6,0.7,0.005,47.7
21.2,12.1,1,0.0051,83.1
4.7,13.6,0.5,0.0053,45
4.7,9.5,0.7,0.0053,56.4
57.8,12.11,1.5,0.0053,78.7
10.6,12.7,0.9,0.0056,59.5
1.1,4.1,0.4,0.0058,15.2
7.7,13.7,0.8,0.0061,82.8
1.3,4.2,0.4,0.0063,4.6
15.3,12.9,0.9,0.0071,45.5
1.7,5.9,0.5,0.0073,30.1
1.8,5.3,0.4,0.0074,38.5
4.4,8,0.5,0.0184,60.7
,,1.3,0.0008,79.2
22.2,25.1,0.84,0.001,96.4
54.9,32.3,0.82,0.001,38.2
67.7,34.4,1.55,0.001,26.9
89.1,47.9,1.3,0.001,33.1
74.4,33.2,1.33,0.001,33.2
49.8,22.7,1.22,0.001,50.6
116.9,61,1.87,0.001,58.1
123,61.6,1.12,0.001,51.6
27.8,19.3,1.53,0.001,15.8
59.3,30.5,1.55,0.001,67.5
17,17.5,0.93,0.001,14.5
117.4,54.6,1.26,0.002,107
79.6,48.5,1.05,0.002,119
97.7,40.5,1.56,0.002,49.5
79.9,34.1,1.46,0.002,44.6
58.9,22.1,1.72,0.002,52.3
49.6,32.3,0.95,0.003,45.3
133.9,61.6,1.17,0.003,133
50.7,29.6,0.9,0.003,67
91.3,49.1,1.15,0.003,67.2
48.7,44.5,0.83,0.004,98.8
12,13.2,0.77,0.004,71
8.5,12.6,0.53,0.004,39.3
25.2,19.1,0.86,0.004,86.1
